Supplementary_Table2: Summary of random mutation data (ART-Random),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,sample,chr13_count,chr13_prob,chr18_count,chr18_prob,chr21_count,chr21_prob,chrX_count,chrX_prob,chrY_count,chrY_prob,total,coverage,trisomy,Z_score_CHR13,Z_score_CHR18,Z_score_CHR21
25,sample_25,1595,0.063183331,1021,0.040445254,1044,0.041356362,1033,0.040920615,1026,0.040643321,25244,0.360061,0,2.310710908,-0.090509268,-0.016999287
26,sample_26,1435,0.067194231,849,0.039754636,850,0.039801461,851,0.039848286,869,0.040691141,21356,0.303135,0,2.713978597,-0.161480249,-0.177546624
27,sample_27,892,0.10872745,305,0.037176987,322,0.039249147,316,0.038517796,305,0.037176987,8204,0.111439,13,6.889850193,-0.426370688,-0.234574418
28,sample_28,871,0.106167723,304,0.037055095,330,0.040224281,306,0.037298879,299,0.036445636,8204,0.111439,13,6.63248774,-0.438896817,-0.133889433
29,sample_29,1084,0.083667799,523,0.040367397,512,0.03951837,524,0.040444582,500,0.038592158,12956,0.180284,13,4.370279379,-0.09851019,-0.206776472
30,sample_30,1074,0.082895956,512,0.03951837,525,0.040521766,500,0.038592158,518,0.039981476,12956,0.180284,13,4.292676005,-0.185759956,-0.103173363
31,sample_31,1662,0.061075996,1108,0.040717331,1124,0.041305306,1113,0.040901073,1130,0.041525797,27212,0.388504,0,2.098833288,-0.062549523,-0.022270885
32,sample_32,1668,0.061296487,1098,0.040349846,1096,0.040276349,1129,0.041489049,1121,0.041195061,27212,0.388504,0,2.121002096,-0.100313878,-0.128513302
33,sample_33,1884,0.058069289,1338,0.041240291,1314,0.040500555,1338,0.041240291,1330,0.040993712,32444,0.464897,0,1.796530125,-0.008807834,-0.105363469
34,sample_34,1072,0.085268851,495,0.03937321,498,0.039611836,518,0.041202673,503,0.040009545,12572,0.17526,13,4.531253913,-0.200677185,-0.197125883
35,sample_35,1606,0.062315691,1043,0.040470278,1063,0.041246314,1055,0.040935899,1070,0.041517926,25772,0.367737,0,2.223475915,-0.087937743,-0.028362021
36,sample_36,925,0.101469943,337,0.036967968,350,0.038394032,350,0.038394032,368,0.040368583,9116,0.124311,13,6.160159155,-0.447850333,-0.322867066
37,sample_37,921,0.101031154,369,0.04047828,349,0.038284335,362,0.039710399,362,0.039710399,9116,0.124311,13,6.116042028,-0.08711541,-0.334193574
38,sample_38,1809,0.059171791,1270,0.04154128,1257,0.041116054,1239,0.04052728,1236,0.040429151,30572,0.437818,0,1.907378965,0.022123071,-0.041811677
39,sample_39,1685,0.061272727,1115,0.040545455,1127,0.040981818,1126,0.040945455,1125,0.040909091,27500,0.393014,0,2.118613239,-0.080212255,-0.055671845
40,sample_40,914,0.101330377,369,0.040909091,369,0.040909091,338,0.037472284,362,0.040133038,9020,0.12351,13,6.146126779,-0.042843396,-0.063181114
41,sample_41,926,0.102660754,368,0.040798226,365,0.040465632,336,0.037250554,344,0.038137472,9020,0.12351,13,6.279886777,-0.054236341,-0.108969341
42,sample_42,867,0.114379947,285,0.037598945,302,0.039841689,294,0.03878628,310,0.040897098,7580,0.102544,13,7.458168835,-0.383008469,-0.173393015
43,sample_43,854,0.112664908,289,0.038126649,283,0.037335092,292,0.038522427,300,0.039577836,7580,0.102544,13,7.285733727,-0.328779254,-0.43220523
44,sample_44,861,0.113588391,272,0.035883905,292,0.038522427,279,0.036807388,307,0.040501319,7580,0.102544,13,7.3785834,-0.559253416,-0.30960997
45,sample_45,1790,0.060155935,1202,0.040395214,1200,0.040328001,1211,0.040697674,1234,0.041470628,29756,0.425703,0,2.006327663,-0.095651587,-0.123180064
47,sample_47,1936,0.058124174,1348,0.040470758,1355,0.040680917,1383,0.041521556,1378,0.041371442,33308,0.477254,0,1.802048499,-0.087888421,-0.086740578
48,sample_48,1232,0.075731497,665,0.040877797,661,0.040631915,647,0.03977133,667,0.041000738,16268,0.229251,13,3.57234038,-0.046059305,-0.091800163
49,sample_49,1233,0.075792968,654,0.040201623,658,0.040447504,635,0.039033686,653,0.040140152,16268,0.229251,13,3.578520791,-0.115545903,-0.110841063
51,sample_51,965,0.101068287,366,0.038332635,359,0.037599497,386,0.040427315,379,0.039694177,9548,0.130934,13,6.119775443,-0.307611231,-0.404904773
52,sample_52,945,0.098973607,386,0.040427315,382,0.040008379,381,0.039903645,360,0.037704231,9548,0.130934,13,5.909170223,-0.092352829,-0.156181857
53,sample_53,965,0.101068287,383,0.040113113,363,0.038018433,383,0.040113113,376,0.039379975,9548,0.130934,13,6.119775443,-0.124641589,-0.361648613
54,sample_54,1835,0.059277684,1270,0.041025972,1283,0.041445923,1279,0.041316708,1259,0.040670629,30956,0.442871,0,1.918025785,-0.03083215,-0.007751859
55,sample_55,1149,0.079023384,591,0.040646492,564,0.038789546,589,0.040508941,577,0.039683631,14540,0.203915,13,3.903316285,-0.069829161,-0.282029315
56,sample_56,1056,0.084969424,478,0.038461538,481,0.038702929,481,0.038702929,478,0.038461538,12428,0.172588,13,4.501148591,-0.294364561,-0.290972755
57,sample_57,1060,0.085291278,478,0.038461538,510,0.041036369,474,0.038139685,503,0.040473125,12428,0.172588,13,4.533508723,-0.294364561,-0.050039289
58,sample_58,1673,0.060942736,1116,0.040652776,1110,0.040434212,1101,0.040106367,1112,0.040507067,27452,0.391837,0,2.08543499,-0.06918346,-0.11221348
59,sample_59,1061,0.086711344,473,0.038656424,487,0.039800588,472,0.038574698,500,0.040863027,12236,0.16989,13,4.676286304,-0.274337307,-0.177636714
60,sample_60,1058,0.086466165,502,0.041026479,483,0.039473684,487,0.039800588,494,0.040372671,12236,0.16989,13,4.651635372,-0.030780059,-0.211390376
61,sample_61,1614,0.062162995,1047,0.040325065,1041,0.040093976,1050,0.04044061,1057,0.040710214,25964,0.370588,0,2.208123358,-0.102860397,-0.147343699
62,sample_62,996,0.093503567,414,0.038865941,401,0.037645513,404,0.03792715,428,0.040180248,10652,0.146663,13,5.359196401,-0.252806426,-0.40015358
63,sample_63,1009,0.094723995,420,0.039429215,404,0.03792715,427,0.040086369,417,0.039147578,10652,0.146663,13,5.481901819,-0.194921882,-0.371073843
64,sample_64,1074,0.083204214,494,0.03827084,495,0.038348311,525,0.040672451,533,0.041292222,12908,0.179626,13,4.323669258,-0.313961588,-0.327587907
65,sample_65,1068,0.082739386,501,0.038813139,522,0.040440037,503,0.038968082,505,0.039123024,12908,0.179626,13,4.276934087,-0.258232542,-0.111612061
66,sample_66,1317,0.072794605,749,0.041399514,712,0.039354411,721,0.039851868,746,0.041233694,18092,0.255468,0,3.277056641,0.007554578,-0.223705649
67,sample_67,1302,0.07196551,725,0.04007296,740,0.040902056,735,0.040625691,730,0.040349326,18092,0.255468,0,3.193696925,-0.128767812,-0.06390747
68,sample_68,927,0.098575074,354,0.037643556,386,0.041046363,365,0.038813271,352,0.03743088,9404,0.129094,13,5.869100587,-0.378424013,-0.049007408
69,sample_69,1100,0.084589357,513,0.0394494,503,0.038680406,505,0.038834205,531,0.04083359,13004,0.181062,13,4.462935564,-0.192847581,-0.293298293
70,sample_70,1100,0.084589357,527,0.040525992,518,0.039833897,498,0.038295909,515,0.039603199,13004,0.181062,13,4.462935564,-0.082212311,-0.174197495
71,sample_71,1068,0.084950684,492,0.039134585,494,0.039293668,494,0.039293668,512,0.040725422,12572,0.174971,13,4.499264434,-0.225199384,-0.229977442
72,sample_72,1072,0.085268851,505,0.040168629,517,0.041123131,510,0.040566338,508,0.040407254,12572,0.174971,13,4.531253913,-0.118936523,-0.041080974
73,sample_73,1233,0.072993133,694,0.041084537,685,0.04055174,678,0.040137343,661,0.03913095,16892,0.237931,13,3.297017177,-0.024813785,-0.100078423
79,sample_79,1782,0.059503139,1240,0.041405102,1210,0.040403366,1207,0.040303192,1244,0.041538667,29948,0.428724,0,1.940693623,0.008128885,-0.115398468
80,sample_80,1758,0.060246744,1179,0.040404387,1174,0.040233036,1184,0.040575737,1180,0.040438657,29180,0.417504,0,2.015457907,-0.094709016,-0.132985408
81,sample_81,1042,0.085493928,473,0.038808664,477,0.039136856,469,0.038480473,469,0.038480473,12188,0.16971,13,4.553883818,-0.2586924,-0.246168722
82,sample_82,1065,0.087381031,502,0.041188054,468,0.038398425,503,0.041270102,472,0.038726616,12188,0.16971,13,4.743618593,-0.014175951,-0.322413559
83,sample_83,1966,0.057775949,1410,0.041436464,1408,0.041377689,1400,0.041142588,1384,0.040672387,34028,0.487902,0,1.767036921,0.011351771,-0.014797216
84,sample_84,1955,0.057452686,1394,0.040966263,1408,0.041377689,1407,0.041348301,1402,0.041201364,34028,0.48785,0,1.734535092,-0.036968135,-0.014797216
85,sample_85,1194,0.077512334,631,0.040963386,600,0.038950922,635,0.041223059,635,0.041223059,15404,0.216042,13,3.751390957,-0.037263782,-0.265366873
86,sample_86,1180,0.07660348,620,0.040249286,627,0.040703713,628,0.040768632,630,0.040898468,15404,0.216042,13,3.660012027,-0.110647837,-0.084386854
87,sample_87,1500,0.066079295,925,0.040748899,922,0.04061674,923,0.040660793,911,0.040132159,22700,0.3226,0,2.601879666,-0.059305449,-0.093367053
88,sample_88,1777,0.060897875,1178,0.040370117,1204,0.041261138,1207,0.041363948,1201,0.041158328,29180,0.416909,0,2.080924518,-0.098230756,-0.026831413
89,sample_89,1813,0.060056976,1238,0.041009673,1239,0.041042798,1221,0.040446535,1221,0.040446535,30188,0.43178,0,1.99637807,-0.032507171,-0.049375481
90,sample_90,1455,0.066779879,890,0.040848173,875,0.040159721,886,0.040664586,887,0.040710483,21788,0.309219,0,2.672318403,-0.049103555,-0.1405554
91,sample_91,1452,0.066642188,902,0.041398935,882,0.040480999,875,0.040159721,894,0.041031761,21788,0.309219,0,2.658474599,0.007495139,-0.107382683
92,sample_92,1787,0.060347157,1217,0.041098203,1216,0.041064433,1195,0.040355261,1196,0.040389031,29612,0.423745,0,2.025553646,-0.023409369,-0.047141627
93,sample_93,1224,0.076595745,622,0.038923655,625,0.039111389,652,0.040801001,658,0.041176471,15980,0.224861,13,3.659234333,-0.246875494,-0.24879822
94,sample_94,1580,0.062708366,1017,0.04036355,1036,0.041117638,1044,0.041435148,1034,0.04103826,25196,0.359288,0,2.262956606,-0.098905583,-0.041648145
95,sample_95,940,0.098449937,382,0.040008379,368,0.038542103,373,0.039065773,394,0.041265186,9548,0.131021,13,5.856518918,-0.135404509,-0.307578414
96,sample_96,963,0.100858819,363,0.038018433,382,0.040008379,382,0.040008379,379,0.039694177,9548,0.131021,13,6.098714921,-0.339899992,-0.156181857
97,sample_97,1361,0.071077919,757,0.039534155,756,0.03948193,786,0.041048673,794,0.041466472,19148,0.271037,0,3.104455999,-0.184137807,-0.210538954
98,sample_98,1335,0.069720075,794,0.041466472,792,0.041362022,786,0.041048673,759,0.039638605,19148,0.271037,0,2.967934366,0.014435484,-0.016414854
99,sample_99,1497,0.066937936,895,0.040019674,918,0.041048113,927,0.041450546,894,0.03997496,22364,0.317484,0,2.68820993,-0.134243708,-0.048826738
100,sample_100,1186,0.075349428,640,0.040660737,646,0.041041931,645,0.040978399,648,0.041168996,15740,0.221205,13,3.533926021,-0.06836533,-0.049465009
101,sample_101,1188,0.075476493,613,0.038945362,617,0.039199492,633,0.04021601,650,0.041296061,15740,0.221205,13,3.546701489,-0.24464473,-0.239701421
102,sample_102,1754,0.060608155,1176,0.040635798,1198,0.041395992,1167,0.04032481,1188,0.041050449,28940,0.413928,0,2.051795174,-0.070928147,-0.012907413
103,sample_103,1610,0.062587467,1051,0.040856787,1051,0.040856787,1048,0.040740165,1047,0.040701291,25724,0.366769,0,2.250801021,-0.048218329,-0.068581576
104,sample_104,1087,0.086461979,517,0.041123131,502,0.039930003,503,0.040009545,487,0.038736876,12572,0.174673,13,4.651214458,-0.020847727,-0.164274323
105,sample_105,1056,0.083996182,506,0.040248171,513,0.040804963,504,0.040089087,506,0.040248171,12572,0.174673,13,4.403295998,-0.110762456,-0.073932534
106,sample_106,1651,0.062890446,1076,0.040987353,1050,0.039996953,1072,0.040834984,1086,0.041368277,26252,0.374583,0,2.281263467,-0.034800807,-0.15736163
107,sample_107,1964,0.057152834,1408,0.040973111,1400,0.04074031,1404,0.040856711,1396,0.040623909,34364,0.49294,0,1.704387127,-0.036264372,-0.080608196
108,sample_108,988,0.098054784,381,0.037812624,398,0.039499802,377,0.037415641,399,0.039599047,10076,0.138452,13,5.816789025,-0.361049835,-0.208693701
109,sample_109,965,0.095772132,389,0.03860659,406,0.040293767,377,0.037415641,409,0.040591505,10076,0.138452,13,5.587284516,-0.27945844,-0.126714779
110,sample_110,1406,0.068292209,828,0.040217602,818,0.039731883,823,0.039974743,849,0.041237614,20588,0.292215,0,2.824372517,-0.113903763,-0.184730754
111,sample_111,1651,0.061650485,1097,0.040963406,1080,0.040328603,1088,0.040627334,1082,0.040403286,26780,0.382374,0,2.156594152,-0.037261789,-0.123117869
112,sample_112,895,0.108458556,300,0.036354823,318,0.038536112,315,0.038172564,327,0.039626757,8252,0.112326,13,6.86281475,-0.510859822,-0.308196958
113,sample_113,877,0.106277266,336,0.040717402,301,0.036476006,304,0.036839554,336,0.040717402,8252,0.112326,13,6.64350152,-0.062542201,-0.520908021
114,sample_114,910,0.10776883,329,0.038962577,323,0.038252013,333,0.039436286,332,0.039317859,8444,0.114973,13,6.79346772,-0.242875657,-0.337530897
115,sample_115,912,0.108005685,309,0.036594031,309,0.036594031,346,0.040975841,315,0.037304595,8444,0.114973,13,6.817281773,-0.486277745,-0.508721604
116,sample_116,908,0.107531975,334,0.039554713,330,0.039081004,330,0.039081004,325,0.038488868,8444,0.114973,13,6.769653667,-0.182025136,-0.251935543
117,sample_117,1093,0.083130514,506,0.038484941,541,0.041146943,533,0.040538485,524,0.03985397,13148,0.183198,13,4.316259214,-0.291959647,-0.038622354
118,sample_118,1090,0.082902343,529,0.040234256,525,0.039930027,539,0.040994828,519,0.039473684,13148,0.183198,13,4.293318174,-0.112192358,-0.164271824
119,sample_119,1820,0.060002637,1247,0.041111697,1230,0.040551233,1253,0.041309508,1220,0.040221548,30332,0.433967,0,1.990914687,-0.022022689,-0.100130819
120,sample_120,1388,0.06789278,824,0.040305224,838,0.040990022,835,0.040843279,838,0.040990022,20444,0.289876,0,2.784212777,-0.104899391,-0.05482483
121,sample_121,1083,0.08147758,543,0.04085164,542,0.040776407,546,0.04107734,515,0.03874511,13292,0.185339,13,4.150068419,-0.048747294,-0.076881067
122,sample_122,1087,0.081778513,538,0.040475474,528,0.039723142,528,0.039723142,537,0.040400241,13292,0.185339,13,4.180325095,-0.087403764,-0.185633274
123,sample_123,1824,0.06032544,1225,0.040514618,1218,0.040283106,1236,0.040878423,1219,0.040316179,30236,0.432608,0,2.023370186,-0.083381119,-0.127815567
124,sample_124,1557,0.063613336,981,0.040080078,979,0.039998366,1009,0.041224056,1013,0.041387482,24476,0.348798,0,2.353944853,-0.128036333,-0.157215721
125,sample_125,1358,0.070391872,769,0.039861082,788,0.040845947,766,0.039705577,782,0.040534937,19292,0.273,0,3.035478813,-0.15054133,-0.069700929
126,sample_126,1362,0.070599212,771,0.039964752,792,0.041053286,792,0.041053286,798,0.041364296,19292,0.273,0,3.056325368,-0.139887758,-0.048292583
127,sample_127,1042,0.091628561,461,0.040538164,433,0.038075976,451,0.039658811,464,0.04080197,11372,0.157817,13,5.170677798,-0.080961472,-0.355707168
128,sample_128,915,0.102532497,349,0.039108023,340,0.038099507,368,0.041237113,353,0.039556253,8924,0.12188,13,6.266991417,-0.227928958,-0.353277548
129,sample_129,908,0.101748095,339,0.03798745,348,0.038995966,364,0.040788884,361,0.040452712,8924,0.12188,13,6.18812538,-0.343084002,-0.260715959
130,sample_130,1331,0.070572641,782,0.041463415,760,0.040296925,782,0.041463415,763,0.040455992,18860,0.266874,0,3.053653781,0.014121327,-0.126388776
131,sample_131,1335,0.07078473,776,0.041145281,767,0.040668081,748,0.039660657,767,0.040668081,18860,0.266874,0,3.074977839,-0.018571471,-0.08806602
134,sample_134,1581,0.062867822,1034,0.04111659,1044,0.041514236,1033,0.041076825,1033,0.041076825,25148,0.358317,0,2.278988789,-0.021519907,-0.000698428
135,sample_135,1594,0.063384762,1017,0.040440592,1025,0.040758708,1010,0.04016224,1032,0.041037061,25148,0.358317,0,2.330963423,-0.090988419,-0.078708472
137,sample_137,868,0.110997442,289,0.036956522,285,0.036445013,300,0.038363171,289,0.036956522,7820,0.105963,13,7.118081888,-0.449026643,-0.524108127
138,sample_138,889,0.113682864,310,0.039641944,308,0.039386189,322,0.041176471,315,0.04028133,7820,0.105963,13,7.388082088,-0.173060967,-0.220424444
139,sample_139,1528,0.065918896,927,0.039991372,930,0.040120794,957,0.041285591,931,0.040163934,23180,0.329457,0,2.585752624,-0.137152207,-0.144574725
140,sample_140,1505,0.064926661,945,0.040767903,939,0.04050906,960,0.041415013,924,0.03986195,23180,0.329457,0,2.48599044,-0.057352444,-0.104485335
141,sample_141,1413,0.067998075,857,0.041241578,842,0.040519731,833,0.040086622,847,0.040760346,20780,0.295036,0,2.794799424,-0.008675528,-0.10338353
144,sample_144,1486,0.065880475,923,0.040920376,931,0.041275049,909,0.040299699,909,0.040299699,22556,0.320617,0,2.581889731,-0.041683696,-0.025395068
145,sample_145,1476,0.065437134,897,0.039767689,934,0.041408051,910,0.040344033,907,0.04021103,22556,0.320617,0,2.537314925,-0.160138803,-0.011662254
146,sample_146,1254,0.072185125,707,0.040697674,688,0.03960396,719,0.041388441,700,0.040294727,17372,0.24519,13,3.215777749,-0.064569477,-0.19793904
147,sample_147,968,0.09383482,415,0.040228771,400,0.038774719,405,0.039259403,416,0.040325708,10316,0.142197,13,5.392501478,-0.112756054,-0.28356026
148,sample_148,996,0.09654905,407,0.039453276,386,0.037417604,404,0.039162466,403,0.039065529,10316,0.142197,13,5.665398152,-0.192449238,-0.423685728
149,sample_149,1725,0.061440376,1158,0.041245192,1140,0.040604075,1135,0.040425987,1163,0.04142328,28076,0.400947,0,2.135469146,-0.008304221,-0.09467479
150,sample_150,1873,0.059399975,1284,0.040720538,1273,0.040371686,1288,0.040847393,1275,0.040435114,31532,0.451645,0,1.930321197,-0.062219929,-0.118669499
151,sample_151,1131,0.078826317,594,0.041399498,587,0.040911625,559,0.038960134,592,0.041260106,14348,0.201204,13,3.88350264,0.007552994,-0.062919431
152,sample_152,1137,0.079244494,591,0.04119041,581,0.040493449,560,0.03902983,564,0.039308614,14348,0.201204,13,3.925547356,-0.013933839,-0.106097206
153,sample_153,1465,0.067987748,857,0.039771673,886,0.041117505,888,0.041210321,894,0.041488769,21548,0.30559,0,2.793761138,-0.159729468,-0.041661837
154,sample_154,1244,0.076695438,672,0.041430333,662,0.04081381,668,0.041183724,644,0.039704069,16220,0.227919,13,3.669257765,0.010721706,-0.07301909
155,sample_155,1220,0.075215783,656,0.040443896,652,0.040197287,668,0.041183724,657,0.040505549,16220,0.227919,13,3.520488939,-0.090648811,-0.136676582
156,sample_156,1683,0.062066677,1123,0.041414663,1111,0.04097212,1103,0.040677091,1103,0.040677091,27116,0.387442,0,2.198439222,0.009111389,-0.056673229
158,sample_158,1817,0.059998679,1237,0.040846652,1255,0.041441025,1218,0.040219258,1223,0.040384361,30284,0.43352,0,1.990516707,-0.049259922,-0.008257619
159,sample_159,1167,0.0797349,603,0.041199781,603,0.041199781,578,0.039491664,572,0.039081716,14636,0.205175,13,3.974854237,-0.012970778,-0.033166612
160,sample_160,1158,0.079119978,603,0.041199781,573,0.039150041,579,0.039559989,605,0.041336431,14636,0.205175,13,3.913028166,-0.012970778,-0.244807331
161,sample_161,1892,0.058488933,1316,0.040682577,1319,0.040775318,1331,0.041146284,1339,0.041393595,32348,0.46345,0,1.838722386,-0.066120956,-0.076993453
165,sample_165,1277,0.073105106,690,0.039500801,707,0.04047401,705,0.040359515,690,0.039500801,17468,0.2465,13,3.308275335,-0.187565362,-0.108104324
166,sample_166,1284,0.073505839,710,0.040645752,720,0.041218228,716,0.040989237,699,0.040016029,17468,0.2465,13,3.348566182,-0.069905227,-0.031261991
167,sample_167,1057,0.084075724,509,0.040486796,496,0.039452752,498,0.039611836,482,0.038339166,12572,0.17514,13,4.411293367,-0.086240257,-0.213551663
168,sample_168,1072,0.085268851,501,0.039850461,493,0.039214127,481,0.038259625,492,0.039134585,12572,0.17514,13,4.531253913,-0.151632788,-0.238190332
170,sample_170,1297,0.074046586,692,0.039506737,712,0.04064855,724,0.041333638,720,0.041105275,17516,0.247355,13,3.402934444,-0.186955431,-0.090082613
171,sample_171,1295,0.073932405,723,0.041276547,715,0.040819822,712,0.04064855,708,0.040420187,17516,0.247355,13,3.391454319,-0.00508199,-0.072398361
172,sample_172,868,0.113791295,296,0.038804405,310,0.040639748,285,0.037362349,313,0.041033036,7628,0.102935,13,7.398984037,-0.259130118,-0.0909914
173,sample_173,885,0.111125063,301,0.037795078,315,0.039552988,322,0.040431944,294,0.036916123,7964,0.107551,13,7.13091321,-0.36285296,-0.203202019
174,sample_174,887,0.111376193,326,0.040934204,327,0.041059769,294,0.036916123,304,0.038171773,7964,0.107551,13,7.156162565,-0.040262674,-0.047623236
175,sample_175,873,0.109618282,316,0.039678553,319,0.040055249,291,0.036539427,298,0.037418383,7964,0.107551,13,6.979417079,-0.169298788,-0.151342424
176,sample_176,1973,0.058393512,1373,0.040635729,1374,0.040665325,1390,0.041138866,1368,0.040487747,33788,0.484294,0,1.829128543,-0.070935293,-0.088350545
177,sample_177,1942,0.058727471,1356,0.041006411,1347,0.040734245,1366,0.041308818,1334,0.040341115,33068,0.473931,0,1.862705677,-0.032842356,-0.081234426
178,sample_178,1713,0.060805055,1133,0.040217237,1164,0.04131762,1163,0.041282124,1135,0.040288229,28172,0.402369,0,2.071592064,-0.113941324,-0.020999449
179,sample_179,1525,0.064982103,972,0.041418101,963,0.0410346,966,0.041162434,955,0.040693711,23468,0.333836,0,2.491564779,0.009464726,-0.050221961
180,sample_180,1444,0.066715949,871,0.040242099,870,0.040195897,898,0.041489558,895,0.041350952,21644,0.307075,0,2.665890709,-0.11138635,-0.136820109
181,sample_181,1434,0.066253927,898,0.041489558,876,0.04047311,878,0.040565515,861,0.039780078,21644,0.307075,0,2.619437682,0.016807965,-0.108197178
182,sample_182,1665,0.062849162,1076,0.040616035,1083,0.040880266,1081,0.040804771,1091,0.041182244,26492,0.378296,0,2.277112609,-0.072959097,-0.066157384
183,sample_183,1451,0.067039364,870,0.040195897,875,0.040426908,872,0.040288302,879,0.040611717,21644,0.307269,0,2.698407828,-0.116134288,-0.112967666
184,sample_184,1286,0.071460325,727,0.040397866,708,0.039342076,732,0.040675706,731,0.040620138,17996,0.253819,0,3.142904134,-0.095379078,-0.224979245
185,sample_185,1578,0.064094232,983,0.039926889,997,0.040495532,1012,0.041104793,985,0.040008123,24620,0.350871,0,2.40229563,-0.143778778,-0.105882077
186,sample_186,1579,0.06413485,1007,0.040901706,987,0.040089358,1002,0.040698619,1005,0.040820471,24620,0.350871,0,2.40637942,-0.043602309,-0.147820522
187,sample_187,1810,0.059862416,1222,0.040415399,1254,0.04147374,1233,0.040779204,1228,0.040613838,30236,0.432892,0,1.976816375,-0.093577344,-0.00487972
188,sample_188,1369,0.070610687,795,0.041004745,767,0.039560553,784,0.040437384,801,0.041314215,19388,0.27423,0,3.057479089,-0.033013544,-0.202420969
189,sample_189,1584,0.064463617,992,0.040371154,995,0.040493244,1007,0.040981605,1010,0.041103695,24572,0.350293,0,2.43943466,-0.098124123,-0.106118292
