Supplementary_Table4: Detection results of population data(MS+Seq-Gen+ART),,,,,,,,
,,,,,,,,
,sample,chr13,chr18,chr21,chr13_zscore,chr18_zscore,chr21_zscore,label
36,sample_39,1,0,0,4.048731853,-0.030229882,-0.067791626,13
37,sample_40,1,0,0,6.908745621,-0.149656173,-0.223552044,13
38,sample_41,1,0,0,6.953697075,-0.189129069,-0.26978675,13
39,sample_42,1,0,0,6.921588894,-0.162813805,-0.249971876,13
40,sample_44,1,0,0,4.254924163,-0.064989062,-0.055334834,13
41,sample_45,0,0,0,1.828830372,0.067890958,-0.026210459,0
42,sample_46,0,0,0,2.898280974,-0.073980628,-0.11319658,0
43,sample_47,0,0,0,1.840855446,0.000459184,-0.036467245,0
44,sample_48,0,0,0,2.936908185,-0.016674611,-0.058771646,0
45,sample_49,1,0,0,5.414836065,-0.08423971,-0.175054794,13
46,sample_50,1,0,0,5.439941593,-0.058519685,-0.149232565,13
47,sample_51,0,0,0,1.7947774,-0.005914229,-0.065585994,0
48,sample_52,1,0,0,3.456946345,-0.058606191,-0.137111285,13
49,sample_53,1,0,0,6.912696653,-0.259724954,-0.268167855,13
50,sample_54,1,0,0,6.899930789,-0.246646625,-0.314123899,13
51,sample_57,0,0,0,2.45066229,0.004477203,0.01502038,0
52,sample_58,1,0,0,3.6697634,-0.038843422,-0.107258291,13
53,sample_59,1,0,0,3.68321502,-0.025062552,-0.114176106,13
54,sample_60,0,0,0,2.865251973,-0.049072922,-0.088102788,0
55,sample_61,0,0,0,2.988931361,-0.03980731,-0.117108017,0
56,sample_62,0,0,0,2.758857361,-0.02807129,-0.059290792,0
57,sample_63,1,0,0,4.365700338,0.029606662,-0.161381699,13
58,sample_64,1,0,0,4.381812437,-0.065305532,-0.148952654,13
59,sample_65,0,0,0,2.502444791,0.026428004,-0.109832829,0
60,sample_66,1,0,0,4.609684526,-0.09411634,-0.154738274,13
61,sample_67,1,0,0,4.678588182,-0.155882751,-0.16359711,13
62,sample_68,0,0,0,2.071953503,-0.028630488,-0.00603507,0
63,sample_69,1,0,0,6.962893693,-0.197099237,-0.351168429,13
64,sample_70,1,0,0,7.040423443,-0.296383506,-0.231553882,13
65,sample_71,1,0,0,6.807834195,-0.263288749,-0.238199134,13
66,sample_72,0,0,0,2.313418794,0.011949934,-0.015315399,0
67,sample_73,0,0,0,2.458025329,-0.098903529,-0.020653045,0
68,sample_74,1,0,0,4.661065464,-0.077312945,-0.081262562,13
69,sample_75,1,0,0,4.527599965,-0.149951971,-0.197088858,13
70,sample_76,0,0,0,2.891973567,-0.030435743,-0.040254027,0
71,sample_77,0,0,0,2.907512697,-0.006556531,-0.088202226,0
72,sample_78,1,0,0,3.743484454,-0.073202382,-0.146460504,13
73,sample_79,1,0,0,3.924774957,-0.080844405,-0.181545859,13
74,sample_80,1,0,0,3.960806763,-0.007016919,-0.129661264,13
75,sample_81,0,0,0,2.106511114,0.02553314,-0.032329302,0
76,sample_82,0,0,0,2.133011359,-0.022024456,-0.015786992,0
77,sample_83,0,0,0,2.695989101,0.058254679,-0.063249267,0
78,sample_84,0,0,0,2.468533844,-0.040580507,-0.03182136,0
79,sample_85,1,0,0,5.444932218,-0.197718005,-0.232175109,13
80,sample_86,1,0,0,5.573507876,-0.160835634,-0.14224771,13
81,sample_87,0,0,0,2.58732991,-0.03138417,-0.053614924,0
82,sample_88,0,0,0,2.519863525,-0.022168472,-0.065180321,0
83,sample_89,0,0,0,1.763916125,0.026633063,-0.052389455,0
84,sample_90,0,0,0,1.795919576,0.007897756,-0.052389455,0
85,sample_91,1,0,0,4.855050796,-0.080602901,-0.137583044,13
86,sample_92,1,0,0,4.850580723,-0.149295182,-0.183559871,13
87,sample_93,0,0,0,2.041398432,0.04189189,-0.031097732,0
88,sample_94,0,0,0,2.478544682,-0.000593481,-0.068101308,0
89,sample_95,0,0,0,1.805540719,0.039094186,-0.010029326,0
90,sample_96,0,0,0,1.93563954,0.038009291,-0.014235341,0
91,sample_97,0,0,0,1.965866241,0.045488832,0.019189021,0
92,sample_98,0,0,0,1.928065976,-0.020294767,-0.086798143,0
93,sample_99,1,0,0,4.483985806,-0.142240977,-0.079716168,13
94,sample_100,1,0,0,4.598512908,-0.079385438,-0.10495829,13
95,sample_101,1,0,0,3.291511152,-0.081503487,-0.097289537,13
96,sample_102,1,0,0,4.628275768,-0.153614034,-0.060990914,13
97,sample_103,1,0,0,4.526165948,-0.131820467,-0.179143817,13
98,sample_104,1,0,0,5.376965601,-0.195005978,-0.084494314,13
99,sample_105,0,0,0,2.315032749,-0.006670723,-0.034071316,0
100,sample_106,0,0,0,2.319114463,0.010055762,-0.055062502,0
101,sample_107,0,0,0,1.737315499,0.061656995,-0.029586468,0
102,sample_108,1,0,0,3.063562898,-0.017830076,-0.065832909,0
103,sample_109,1,0,0,3.305637169,0.002299239,-0.084434622,13
104,sample_110,1,0,0,3.658837254,-0.003930324,-0.146914165,13
105,sample_111,1,0,0,4.977806133,-0.146164395,-0.14710813,13
106,sample_112,1,0,0,5.033321611,-0.179341075,-0.142349771,13
107,sample_113,1,0,0,4.175567388,-0.08387593,-0.031342398,13
108,sample_114,1,0,0,4.236757484,-0.095629897,-0.090345763,13
109,sample_115,1,0,0,4.057445888,-0.072261932,-0.056866537,13
110,sample_116,1,0,0,4.002079559,-0.091169102,-0.091034678,13
111,sample_117,0,0,0,2.172738328,-0.043689861,-0.031340081,0
112,sample_118,1,0,0,5.553982452,-0.050998127,-0.132947783,13
113,sample_119,1,0,0,3.268073389,0.018290234,-0.048599414,13
114,sample_120,1,0,0,3.253361166,-0.023912285,0.002850136,13
115,sample_121,1,0,0,5.04720048,-0.15090392,-0.185175002,13
116,sample_122,0,0,0,1.865735012,-0.021105857,-0.049931734,0
117,sample_123,0,0,0,2.13741517,-0.022504087,-0.019758554,0
118,sample_124,1,0,0,4.796230285,-0.128934844,-0.095015752,13
119,sample_125,1,0,0,4.871271309,-0.133457066,-0.122256902,13
120,sample_126,0,0,0,2.849948373,-0.015417027,-0.031163003,0
121,sample_127,0,0,0,2.8374573,0.002498511,-0.0388716,0
122,sample_129,0,0,0,1.864505637,0.032086552,-0.025961317,0
123,sample_130,0,0,0,2.609578927,-0.046719004,-0.075859796,0
124,sample_131,1,0,0,5.112473538,-0.136368194,-0.190127253,13
125,sample_132,1,0,0,5.207489748,-0.150969477,-0.146149343,13
126,sample_133,1,0,0,5.036156588,-0.137427031,-0.166865324,13
127,sample_134,0,0,0,1.921312862,0.026121544,0.018166987,0
128,sample_135,1,0,0,6.220591968,-0.155470707,-0.195714929,13
129,sample_136,1,0,0,6.307437649,-0.155470707,-0.267174858,13
130,sample_137,0,0,0,1.940836328,0.041485808,0.045782117,0
131,sample_138,1,0,0,3.220994276,-0.108317323,-0.1575514,13
132,sample_139,0,0,0,2.346346941,-0.032722519,-0.066523989,0
133,sample_140,1,0,0,4.057691816,-0.12686686,-0.088147496,13
134,sample_141,0,0,0,2.118985026,-0.027402144,-0.008132185,0
135,sample_142,0,0,0,2.551055918,-0.01219589,-0.055013558,0
136,sample_143,1,0,0,5.904337256,-0.120856013,-0.210606214,13
137,sample_144,1,0,0,5.87730957,-0.187310171,-0.221725918,13
138,sample_145,0,0,0,1.903232817,-0.061001901,-0.015777914,0
139,sample_146,1,0,0,5.854449281,-0.144816064,-0.117273813,13
140,sample_147,1,0,0,5.843526704,-0.178385837,-0.195914538,13
141,sample_148,1,0,0,4.596035936,-0.021133462,-0.237199006,13
142,sample_149,1,0,0,4.435274242,-0.126708204,-0.088807044,13
143,sample_150,0,0,0,2.933102866,0.003847286,-0.062010581,0
144,sample_151,1,0,0,6.322811989,-0.163544111,-0.179802944,13
145,sample_152,1,0,0,6.35208057,-0.229511061,-0.300219452,13
146,sample_153,0,0,0,1.720780702,0.057461206,-0.02227353,0
147,sample_154,1,0,0,7.295477225,-0.350096557,-0.226511205,13
148,sample_155,1,0,0,3.052102951,-0.093741119,-0.144418623,0
149,sample_156,0,0,0,2.516708885,-0.046506819,-0.004991755,0
150,sample_157,0,0,0,2.514488298,0.078614838,-0.075795105,0
151,sample_158,1,0,0,3.314626534,-0.079509605,-0.034773719,13
152,sample_159,1,0,0,6.039034565,-0.235650905,-0.218365972,13
153,sample_160,1,0,0,6.111910363,-0.178220481,-0.201068382,13
154,sample_161,0,0,0,2.559327024,-0.038597292,-0.079390941,0
155,sample_162,0,0,0,2.451401922,-0.035417504,-0.09363697,0
156,sample_163,0,0,0,2.429829323,0.017623992,-0.035947018,0
157,sample_164,0,0,0,2.160357093,0.077570987,-0.049171911,0
158,sample_165,0,0,0,1.776709681,0.07174004,-0.027197485,0
159,sample_166,0,0,0,2.018487516,0.078326626,-0.042478615,0
160,sample_167,1,0,0,5.104504836,-0.111387882,-0.126043493,13
161,sample_168,0,0,0,2.484198951,-0.039984991,-0.051581586,0
162,sample_169,1,0,0,5.000207994,-0.177507523,-0.145844272,13
163,sample_170,1,0,0,4.995621773,-0.182205999,-0.202450025,13
164,sample_171,0,0,0,2.500077948,7.50E-05,-0.024756765,0
165,sample_172,0,0,0,2.003898694,0.058809573,-0.017927544,0
166,sample_173,0,0,0,1.845290617,0.050549588,0.013855929,0
167,sample_174,0,0,0,2.758082697,-0.030514617,-0.113493435,0
168,sample_175,0,0,0,1.945062889,0.039716255,-0.014255767,0
169,sample_177,1,0,0,3.451473022,-0.094251541,-0.141115561,13
170,sample_178,1,0,0,3.491975458,-0.08786788,-0.093047853,13
171,sample_179,0,0,0,2.582580228,-0.036430236,-0.058606891,0
172,sample_180,1,0,0,4.819114672,-0.073783364,-0.094240025,13
173,sample_181,1,0,0,4.819114672,-0.199358755,-0.062721429,13
174,sample_182,1,0,0,3.840508825,-0.067394554,-0.075994977,13
175,sample_183,1,0,0,3.205049707,-0.038007097,-0.06884459,13
176,sample_184,1,0,0,3.248581626,-0.035033935,-0.107649284,13
177,sample_185,0,0,0,1.763169815,-0.041292678,0.003879471,0
178,sample_186,1,0,0,3.299810402,-0.111515241,-0.031105807,13
179,sample_187,1,0,0,5.065705639,-0.05137388,-0.1042829,13
180,sample_188,0,0,0,1.77736132,0.016147349,0.025261436,0
181,sample_189,1,0,0,6.149266823,-0.167793867,-0.248504433,13
182,sample_190,0,0,0,1.77628908,0.040554791,-0.000670772,0
183,sample_191,1,0,0,6.510327249,-0.221335952,-0.268413223,13
184,sample_192,1,0,0,6.644292365,-0.2525278,-0.205781637,13
185,sample_193,0,0,0,2.026639855,-0.029819126,0.006617869,0
186,sample_194,1,0,0,3.005004056,-0.048531158,-0.049546326,0
187,sample_195,1,0,0,3.010326954,-0.056710934,-0.065970886,0
188,sample_196,1,0,0,3.845748265,-0.096667364,-0.13798673,13
189,sample_198,0,0,0,2.282006346,0.026938885,-0.045388275,0
190,sample_199,0,0,0,2.92145653,-0.027635784,-0.032186846,0
191,sample_200,1,0,0,7.260019012,-0.262648999,-0.325130897,13
192,sample_201,1,0,0,7.192528741,-0.228077897,-0.214063774,13
193,sample_202,1,0,0,3.233503108,-0.02470705,-0.008953468,0
194,sample_203,1,0,0,3.162696232,-0.018903851,-0.061389799,0
195,sample_204,1,0,0,4.385845549,-0.093712346,-0.119501535,13
196,sample_205,0,0,0,2.27600416,0.00277566,-0.071384248,0
197,sample_206,0,0,0,2.054583731,-0.051630976,-0.048578038,0
198,sample_207,0,0,0,1.781718886,0.05602484,0.010178902,0
199,sample_208,0,0,0,2.066235467,-0.00663171,-0.063816132,0
200,sample_212,0,0,0,2.05364321,0.027629618,-0.027293132,0
201,sample_213,0,0,0,1.91578304,0.027878498,-0.012427726,0
202,sample_214,1,0,0,5.167235474,-0.101101146,-0.178761178,13
203,sample_215,1,0,0,5.049521339,-0.105924961,-0.120645378,13
204,sample_216,1,0,0,3.943138421,-0.086210121,-0.149376542,13
205,sample_217,1,0,0,3.156111494,-0.057103153,-0.058784758,0
206,sample_218,1,0,0,3.258621701,-0.051268746,-0.055855963,0
207,sample_219,0,0,0,2.132658754,-0.011959447,-0.02408608,0
208,sample_220,1,0,0,3.812948341,-0.012712874,-0.142888159,13
209,sample_221,0,0,0,1.759008976,0.011382513,0.014737214,0
210,sample_222,0,0,0,1.913638872,0.008134433,0.02092357,0
211,sample_223,1,0,0,3.314704264,-0.000905594,-0.056496439,13
212,sample_224,0,0,0,2.666326077,-0.037705149,-0.054350055,0
213,sample_225,1,0,0,7.174764019,-0.171465209,-0.26099989,13
214,sample_226,1,0,0,7.315596093,-0.2264287,-0.192022519,13
215,sample_227,0,0,0,2.99837404,-0.044625703,-0.036570608,0
216,sample_228,0,0,0,1.901832649,0.026072279,-0.024705847,0
217,sample_229,0,0,0,2.429177222,0.006678298,-0.031386289,0
218,sample_230,0,0,0,2.045355454,0.001085033,-0.052131157,0
219,sample_231,0,0,0,2.415465583,-0.020856361,0.003868646,0
220,sample_232,1,0,0,5.106024124,-0.139691667,-0.149703278,13
221,sample_233,1,0,0,5.214321128,-0.212048895,-0.256248911,13
222,sample_234,0,0,0,1.879435012,0.008604496,-0.036414579,0
223,sample_235,1,0,0,5.34689514,-0.091589424,-0.186163036,13
224,sample_236,1,0,0,5.263513007,-0.222236435,-0.226521853,13
225,sample_237,0,0,0,1.741007761,0.053988957,-0.053710375,0
226,sample_238,0,0,0,2.501652366,-0.037553653,-0.069085541,0
227,sample_239,1,0,0,3.858108582,-0.129765662,-0.14208844,13
228,sample_240,1,0,0,3.865194401,-0.064432351,-0.185817055,13
229,sample_241,1,0,0,3.156572822,-0.036497595,-0.038183712,0
230,sample_242,0,0,0,2.078605688,-0.032387902,-0.039936863,0
231,sample_243,0,0,0,2.197931134,0.033005959,0.001418056,0
232,sample_247,1,0,0,4.689031876,-0.114754996,-0.121754356,13
233,sample_248,1,0,0,4.838490961,-0.159789507,-0.130797049,13
234,sample_249,0,0,0,2.769104651,-0.057862067,-0.013036491,0
235,sample_250,0,0,0,2.75675919,-0.019919158,-0.0358927,0
236,sample_251,0,0,0,1.921337484,0.029509712,-0.069237546,0
237,sample_252,0,0,0,1.807764544,0.042419569,0.020081848,0
238,sample_253,1,0,0,5.109452087,-0.147718015,-0.181976437,13
239,sample_254,1,0,0,6.665321462,-0.105179398,-0.266730629,13
240,sample_255,1,0,0,6.547593552,-0.244832493,-0.228492076,13
241,sample_256,0,0,0,2.311440442,-0.019818881,-0.025961317,0
242,sample_257,1,0,0,3.155647679,-0.033943798,-0.020763064,0
243,sample_258,1,0,0,3.215606515,-0.039793934,-0.076560194,0
244,sample_259,0,0,0,2.372637703,-0.040580507,-0.063204822,0
245,sample_260,1,0,0,3.620694898,-0.055872515,-0.086444193,13
246,sample_261,0,0,0,1.753287713,0.012524502,-0.050965245,0
247,sample_262,1,0,0,6.712466376,-0.197705309,-0.263659259,13
248,sample_263,1,0,0,6.571601983,-0.298096458,-0.2510605,13
249,sample_264,1,0,0,3.941087884,-0.067727154,-0.072612511,13
250,sample_265,1,0,0,3.626245006,-0.0918886,-0.066314885,13
251,sample_266,1,0,0,3.616585707,-0.032514243,-0.112678444,13
252,sample_267,1,0,0,5.579949795,-0.114845175,-0.250465831,13
253,sample_268,0,0,0,2.475496947,-0.009407209,-0.065579018,0
254,sample_269,1,0,0,3.390623007,-0.087876265,-0.062581629,13
255,sample_270,1,0,0,5.159094918,-0.100510402,-0.096008867,13
256,sample_271,1,0,0,5.191908982,-0.196559662,-0.163510515,13
257,sample_272,1,0,0,6.670550543,-0.236909197,-0.25884999,13
258,sample_273,1,0,0,6.584308249,-0.117001264,-0.246177947,13
259,sample_274,1,0,0,4.071816626,-0.09737548,-0.116405158,13
260,sample_275,1,0,0,3.933006656,-0.052467827,-0.131433858,13
261,sample_276,0,0,0,2.71504384,-0.018266755,-0.029877028,0
262,sample_277,0,0,0,2.145973464,0.023504825,-0.065306373,0
263,sample_278,0,0,0,1.806224061,0.026392717,-0.079038566,0
264,sample_279,0,0,0,1.997297732,0.053235851,-0.007416794,0
265,sample_280,1,0,0,3.163576492,-0.108102147,-0.040786076,0
266,sample_281,0,0,0,2.698370208,-0.023799852,-0.094876652,0
267,sample_282,0,0,0,2.712880295,-0.01884477,-0.042641552,0
268,sample_285,1,0,0,3.875823131,-0.093469378,-0.127512234,13
269,sample_286,1,0,0,3.854565672,-0.137024919,-0.091071722,13
270,sample_287,0,0,0,2.794899632,-0.058510364,-0.068729806,0
271,sample_288,1,0,0,5.532363666,-0.181911275,-0.226885262,13
272,sample_289,1,0,0,5.558078797,-0.218793646,-0.14224771,13
273,sample_290,0,0,0,2.258100967,0.022785098,-0.014914667,0
274,sample_291,1,0,0,4.811240337,-0.129609944,-0.127322851,13
275,sample_292,1,0,0,4.744750532,-0.156856844,-0.13644124,13
276,sample_294,1,0,0,5.104504836,-0.135614673,-0.179554223,13
277,sample_295,1,0,0,5.0572089,-0.198604328,-0.160095776,13
278,sample_296,1,0,0,3.670080051,-0.103854952,-0.100948254,13
279,sample_297,0,0,0,2.386451209,0.002756534,0.02563431,0
280,sample_298,0,0,0,2.373766047,0.037411605,-0.072220379,0
281,sample_299,0,0,0,2.941180811,-0.080847414,-0.088202226,0
282,sample_301,0,0,0,2.008645407,-0.03620004,-0.034413498,0
283,sample_302,0,0,0,2.483732183,0.061528137,-0.059757742,0
284,sample_303,1,0,0,4.80857143,-0.134850956,-0.159901532,13
285,sample_304,0,0,0,1.908561435,-0.008020667,-0.004039972,0
286,sample_305,0,0,0,2.553430587,-0.030847301,-0.025650163,0
287,sample_307,0,0,0,1.980931245,0.027793707,0.018289098,0
288,sample_308,1,0,0,3.607275892,-0.061177844,-0.179948344,13
289,sample_309,1,0,0,4.064828066,-0.178142083,-0.125202818,13
290,sample_310,1,0,0,5.759003715,-0.102182311,-0.163639789,13
291,sample_311,1,0,0,5.727059639,-0.178542881,-0.163639789,13
292,sample_312,1,0,0,7.219524849,-0.165849913,-0.255713945,13
293,sample_313,1,0,0,7.314011229,-0.207335236,-0.172413604,13
294,sample_317,0,0,0,1.837186496,0.008244747,-0.003760528,0
295,sample_318,0,0,0,1.829115206,0.057265037,0.036867896,0
296,sample_319,1,0,0,4.590161918,-0.175589274,-0.145610504,13
297,sample_320,1,0,0,4.452525621,-0.124314668,-0.12416119,13
298,sample_321,0,0,0,2.699725336,0.013619991,-0.073980184,0
299,sample_322,1,0,0,4.221085669,-0.06277274,-0.036160065,13
300,sample_323,1,0,0,4.366257472,-0.106988315,-0.181440593,13
301,sample_324,0,0,0,1.953526353,0.0414571,0.040495673,0
302,sample_325,0,0,0,1.920069272,0.050990658,0.005967537,0
303,sample_326,0,0,0,2.951009199,-0.002006372,-0.046580733,0
304,sample_327,1,0,0,7.292029095,-0.215831116,-0.271318846,13
305,sample_328,1,0,0,7.278444469,-0.243665381,-0.250360195,13
306,sample_329,0,0,0,1.726350476,0.016349162,0.00835774,0
307,sample_330,0,0,0,1.945062889,0.097452296,-0.015960633,0
308,sample_331,1,0,0,4.994944096,-0.087200964,-0.121218912,13
309,sample_332,1,0,0,4.867632573,-0.138440409,-0.224105017,13
310,sample_333,0,0,0,1.735888022,0.013426116,-0.011188729,0
311,sample_334,0,0,0,0.13271242,2.580729528,-0.128249272,0
312,sample_335,0,0,0,0.167248063,2.837910461,-0.097677527,0
313,sample_336,0,1,0,0.033950321,6.187054839,-0.16241422,18
314,sample_337,0,1,0,-0.107694999,6.192859332,-0.139103989,18
315,sample_338,0,1,0,-0.016151682,5.071742227,-0.110473506,18
316,sample_339,0,0,0,0.15965517,2.201252655,-0.057735063,0
317,sample_340,0,1,0,-0.026621484,6.902834728,-0.309416498,18
318,sample_341,0,1,0,-0.122946027,6.935728808,-0.30281154,18
319,sample_342,0,1,0,0.10213892,3.237876663,-0.015269397,18
320,sample_343,0,1,0,-0.081733176,6.553403293,-0.265375101,18
321,sample_344,0,1,0,-0.069692989,6.362212487,-0.197263623,18
322,sample_345,0,1,0,-0.011031623,5.670810318,-0.188944511,18
323,sample_346,0,1,0,0.065740938,5.602645516,-0.183680229,18
324,sample_347,0,0,0,0.116757828,2.434320861,-0.034198918,0
325,sample_348,0,0,0,0.138223435,1.654425062,-0.00828546,0
326,sample_349,0,1,0,0.030498898,3.476022012,-0.072504587,18
327,sample_350,0,1,0,0.049700738,3.439956978,-0.095546261,18
328,sample_351,0,1,0,0.002513675,5.008794738,-0.172661965,18
329,sample_352,0,0,0,0.101511768,1.925241614,-0.004147102,0
330,sample_353,0,1,0,-0.038233532,4.513998365,-0.117412416,18
331,sample_354,0,1,0,0.029567298,4.587800002,-0.12177094,18
332,sample_355,0,0,0,0.140180496,1.830834046,-0.002302464,0
333,sample_356,0,1,0,-0.073043147,5.769816702,-0.154226538,18
334,sample_357,0,1,0,-0.02464037,5.742268083,-0.104441982,18
335,sample_358,0,1,0,-0.00167868,6.07173665,-0.164158023,18
336,sample_359,0,1,0,-0.093312158,6.259489362,-0.228954477,18
337,sample_360,0,1,0,0.08762421,4.720668948,-0.101995196,18
338,sample_361,0,1,0,0.031411404,4.63207094,-0.164260241,18
339,sample_362,0,0,0,0.126165795,1.789870565,-0.013707006,0
340,sample_363,0,0,0,0.175539374,1.766105838,-0.058147455,0
341,sample_364,0,0,0,0.108095003,2.129476443,-0.016126621,0
342,sample_365,0,0,0,0.124197511,1.734453679,0.014965683,0
343,sample_366,0,0,0,0.151585283,1.823652286,-0.032374687,0
344,sample_367,0,1,0,-0.067595666,6.676706288,-0.161196651,18
345,sample_368,0,0,0,0.127391093,1.942519351,-0.064675054,0
346,sample_369,0,1,0,0.106202085,4.568860966,-0.155404958,18
347,sample_370,0,1,0,0.009512169,4.603315421,-0.164052799,18
348,sample_371,0,0,0,0.120300411,1.680302796,-0.029746045,0
349,sample_372,0,0,0,0.066612669,2.510123789,-0.104605354,0
350,sample_374,0,0,0,0.111568014,1.839146973,-0.026347364,0
351,sample_378,0,0,0,0.181652491,1.761908314,-0.04949449,0
352,sample_379,0,0,0,0.095077998,1.785113625,-0.016786438,0
353,sample_381,0,0,0,0.118091458,1.955408723,0.028471282,0
354,sample_382,0,0,0,0.143109878,1.875695083,-0.02333478,0
355,sample_383,0,0,0,0.109765935,2.457132469,-0.039092472,0
356,sample_384,0,1,0,0.049946005,4.550152776,-0.179861634,18
357,sample_385,0,1,0,-0.056847424,4.650807558,-0.087594256,18
358,sample_386,0,0,0,0.127977895,2.953446712,-0.128931697,0
359,sample_389,0,1,0,-0.113353068,6.226742231,-0.154029971,18
360,sample_390,0,1,0,-0.107563356,6.280125053,-0.320769804,18
361,sample_391,0,0,0,0.059567113,2.805291788,-0.132205008,0
362,sample_393,0,0,0,0.114188562,2.470725102,-0.075483527,0
363,sample_394,0,0,0,0.124788593,2.935468337,-0.114791154,0
364,sample_397,0,1,0,0.054625597,4.089960084,-0.081036847,18
365,sample_398,0,1,0,-0.039288223,4.086111584,-0.158312708,18
366,sample_399,0,0,0,0.144416344,2.106906769,0.023602649,0
367,sample_400,0,0,0,0.13203303,1.817479024,0.051329897,0
368,sample_401,0,0,0,0.146796496,1.831054774,0.002637348,0
369,sample_402,0,0,0,0.146567611,1.95722034,0.011475761,0
370,sample_403,0,0,0,0.080427777,2.72845028,-0.063682357,0
371,sample_404,0,1,0,-0.023937563,5.123463834,-0.215520931,18
372,sample_405,0,1,0,0.019012404,5.191910202,-0.235154745,18
373,sample_406,0,1,0,0.132653772,3.006273472,-0.056984378,0
374,sample_407,0,0,0,0.136354314,1.718885729,-0.041301641,0
375,sample_408,0,0,0,0.131628359,1.728820789,-0.043226572,0
376,sample_409,0,0,0,0.091423472,2.534242277,-0.098345171,0
377,sample_410,0,1,0,0.07647545,3.515003277,-0.07111481,18
378,sample_411,0,1,0,-0.056808472,6.021053405,-0.141186525,18
379,sample_412,0,1,0,-0.067844875,6.015400136,-0.135510793,18
380,sample_413,0,0,0,0.152999754,1.66799562,-0.015770723,0
381,sample_414,0,1,0,-0.046210506,4.536110442,-0.131712802,18
382,sample_415,0,1,0,0.03241533,4.570026371,-0.11894379,18
383,sample_416,0,1,0,-0.03808681,6.096250889,-0.183804941,18
384,sample_417,0,0,0,0.14049532,2.0849866,-0.021607895,0
385,sample_418,0,0,0,0.036958648,2.789644295,-0.067136458,0
386,sample_419,0,1,0,0.095572142,4.470595342,-0.170959195,18
387,sample_422,0,1,0,0.016000931,3.721266296,-0.034201859,18
388,sample_423,0,1,0,-0.080605252,6.074266599,-0.227729362,18
389,sample_424,0,1,0,-0.000857223,6.103445167,-0.157422529,18
390,sample_427,0,1,0,0.045864748,3.490364294,-0.112678444,18
391,sample_430,0,0,0,0.151721459,2.274126614,-0.079948359,0
392,sample_431,0,1,0,0.067881883,4.205720794,-0.122251417,18
393,sample_432,0,1,0,0.017984741,4.213585171,-0.027503883,18
394,sample_433,0,1,0,-0.038514971,6.442952858,-0.165370546,18
395,sample_434,0,1,0,-0.080417433,6.49814612,-0.263881799,18
396,sample_435,0,1,0,-0.062844647,4.688368654,-0.159167692,18
397,sample_436,0,1,0,0.066349708,4.666309222,-0.230038377,18
398,sample_437,0,0,0,0.08821406,2.959722943,-0.054886224,0
