Supplementary_Table1:  Summary of population data (MS+Seq-Gen+ART),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,sample,chr13_count,chr13_prob,chr18_count,chr18_prob,chr21_count,chr21_prob,chrX_count,chrX_prob,chrY_count,chrY_prob,total,coverage,trisomy,Z_score_CHR13,Z_score_CHR18,Z_score_CHR21
19,sample_19,1284,0.071924714,732,0.041003809,709,0.039715438,718,0.040219583,734,0.041115841,17852,0.252278,0,3.227299138,-0.036682731,-0.205224506
20,sample_20,1872,0.059458773,1287,0.040877906,1308,0.041544912,1294,0.041100241,1289,0.040941431,31484,0.45106,0,1.959919958,-0.049796246,-0.013917003
24,sample_24,1574,0.064688476,977,0.040152885,989,0.040646063,976,0.040111787,1002,0.041180339,24332,0.34629,0,2.491610012,-0.125311417,-0.107909359
25,sample_25,1556,0.063572479,1016,0.041510051,1007,0.041142344,989,0.040406929,1012,0.041346625,24476,0.348806,0,2.378149569,0.016045273,-0.056013435
26,sample_26,1414,0.068680785,838,0.040703322,834,0.040509034,819,0.039780455,823,0.039974743,20588,0.291851,0,2.897497451,-0.067980177,-0.122238378
27,sample_27,1390,0.067515057,832,0.04041189,852,0.04138333,833,0.040460462,849,0.041237614,20588,0.291851,0,2.77898102,-0.098334505,-0.030813542
28,sample_28,1140,0.080805217,561,0.039764673,561,0.039764673,553,0.039197618,562,0.039835554,14108,0.197243,13,4.130156252,-0.165746013,-0.200076072
29,sample_29,964,0.094769957,412,0.040503343,396,0.038930397,408,0.040110106,391,0.038438852,10172,0.139778,13,5.549914268,-0.088809238,-0.287315992
30,sample_30,1111,0.083887043,515,0.038885533,518,0.039112051,521,0.039338568,529,0.039942616,13244,0.185104,13,4.443477347,-0.257313502,-0.268320533
31,sample_31,1291,0.071738164,714,0.039675483,734,0.040786842,706,0.03923094,715,0.039731051,17996,0.253964,0,3.208333066,-0.175035575,-0.093188171
32,sample_32,1305,0.072516115,706,0.03923094,716,0.039786619,745,0.041398088,716,0.039786619,17996,0.253964,0,3.287425243,-0.221337339,-0.19778111
33,sample_33,1742,0.05999449,1183,0.040742527,1167,0.040191486,1186,0.040845847,1194,0.041121367,29036,0.415294,0,2.014384872,-0.063896832,-0.155444272
34,sample_34,1359,0.069578128,775,0.039678476,776,0.039729674,773,0.03957608,803,0.041112021,19532,0.276721,0,2.988727959,-0.174723847,-0.203735817
35,sample_35,1435,0.066300129,893,0.041258547,879,0.040611717,874,0.040380706,894,0.04130475,21644,0.307071,0,2.655462522,-0.010150255,-0.111500902
36,sample_36,1203,0.078340714,622,0.04050534,601,0.039137796,621,0.040440219,610,0.039723886,15356,0.215716,13,3.87959676,-0.088601194,-0.265628328
37,sample_37,1196,0.077884866,623,0.040570461,602,0.039202917,625,0.040700703,625,0.040700703,15356,0.215716,13,3.833251916,-0.08181845,-0.258818632
38,sample_38,1851,0.058702271,1296,0.041101104,1277,0.040498541,1300,0.041227959,1293,0.041005962,31532,0.451561,0,1.883008409,-0.026548939,-0.123335652
39,sample_39,1114,0.080328815,557,0.040164407,543,0.039154889,552,0.039803865,559,0.040308624,13868,0.193826,13,4.081721689,-0.124111315,-0.263840954
40,sample_40,883,0.111546235,316,0.039919151,306,0.038655887,295,0.037266296,296,0.037392623,7916,0.107394,13,7.255513976,-0.149656173,-0.316021456
41,sample_41,858,0.108388075,290,0.036634664,312,0.039413845,318,0.040171804,298,0.037645275,7916,0.107394,13,6.934432166,-0.491754612,-0.23676196
42,sample_42,870,0.109903992,318,0.040171804,295,0.037266296,301,0.038024255,316,0.039919151,7916,0.107394,13,7.088551435,-0.123340908,-0.461330533
44,sample_44,1079,0.081767202,539,0.040845711,517,0.039178539,520,0.039405881,528,0.040012125,13196,0.184004,13,4.227958742,-0.053149586,-0.261367881
45,sample_45,1895,0.057894415,1339,0.04090798,1336,0.040816327,1360,0.041549554,1344,0.041060736,32732,0.468992,0,1.80087589,-0.046663894,-0.090104932
46,sample_46,1383,0.069441655,803,0.040319341,807,0.040520185,794,0.039867443,809,0.040620607,19916,0.282084,0,2.974853086,-0.107974041,-0.121072386
47,sample_47,1896,0.059050704,1306,0.040675221,1334,0.041547278,1309,0.040768656,1318,0.04104896,32108,0.459879,0,1.918432683,-0.07090708,-0.013669566
48,sample_48,1325,0.070613942,757,0.04034321,752,0.040076743,738,0.039330633,758,0.040396504,18764,0.265277,0,3.094036355,-0.105487928,-0.167442989
49,sample_49,979,0.096700909,392,0.038719874,408,0.040300277,410,0.040497827,378,0.037337021,10124,0.139569,13,5.746229029,-0.274567903,-0.14406812
50,sample_50,955,0.094330304,379,0.037435796,409,0.040399052,385,0.038028447,410,0.040497827,10124,0.139569,13,5.505215965,-0.408312037,-0.133739228
51,sample_51,1884,0.058502049,1301,0.040398708,1302,0.04042976,1302,0.04042976,1320,0.040988697,32204,0.461584,0,1.862652444,-0.099707506,-0.130528048
52,sample_52,1249,0.076102852,660,0.040214477,641,0.039056788,656,0.039970753,662,0.040336339,16412,0.230782,13,3.652079257,-0.118896239,-0.274099371
53,sample_53,894,0.112255148,302,0.037920643,321,0.040306379,319,0.040055249,300,0.037669513,7964,0.10815,13,7.327587248,-0.357812427,-0.143430022
54,sample_54,891,0.111878453,290,0.036413862,299,0.037543948,289,0.036288297,306,0.038422903,7964,0.10815,13,7.289289654,-0.514752382,-0.432296584
57,sample_57,1532,0.064750634,945,0.039940828,946,0.039983094,955,0.040363483,953,0.040278952,23660,0.336648,0,2.497929441,-0.147398354,-0.177235823
58,sample_58,1198,0.079253771,597,0.039494575,605,0.040023816,619,0.040949987,599,0.039626885,15116,0.211816,13,3.972424851,-0.193878212,-0.172977536
59,sample_59,1187,0.078526065,592,0.0391638,591,0.039097645,622,0.041148452,607,0.040156126,15116,0.211816,13,3.898440941,-0.228330388,-0.26982695
60,sample_60,1372,0.067746395,806,0.039798538,803,0.039650405,824,0.04068734,838,0.041378629,20252,0.287316,0,2.802500551,-0.162218684,-0.212025003
61,sample_61,1337,0.0694762,784,0.040739971,784,0.040739971,773,0.040168364,794,0.041259613,19244,0.272048,0,2.978365227,-0.064163014,-0.098089418
62,sample_62,1388,0.068052559,844,0.041380663,819,0.040154932,843,0.041331634,807,0.039566582,20396,0.289298,0,2.833627422,0.002568782,-0.159266722
63,sample_63,1064,0.084310618,485,0.038431062,502,0.03977813,518,0.041045959,488,0.03866878,12620,0.175841,13,4.48654108,-0.304649328,-0.198668833
64,sample_64,1061,0.0840729,512,0.040570523,507,0.040174326,494,0.039144216,517,0.040966719,12620,0.175841,13,4.462372932,-0.081812001,-0.157238684
65,sample_65,1508,0.064389411,935,0.039923143,965,0.041204099,941,0.040179334,971,0.04146029,23420,0.333491,0,2.461204835,-0.149240432,-0.049555677
66,sample_66,1048,0.088783463,461,0.039054558,465,0.039393426,471,0.039901728,460,0.038969841,11804,0.163905,13,4.941283371,-0.239708595,-0.238897212
67,sample_67,1022,0.08658082,464,0.039308709,453,0.038376821,487,0.041257201,469,0.039732294,11804,0.163905,13,4.717346489,-0.213237276,-0.34520324
68,sample_68,1756,0.06108251,1160,0.040350633,1190,0.041394184,1185,0.041220259,1167,0.040594128,28748,0.410871,0,2.125001026,-0.104714812,-0.029678559
69,sample_69,874,0.111082867,297,0.037747839,306,0.038891713,316,0.040162684,285,0.036222674,7868,0.106187,13,7.208404566,-0.375810921,-0.291361156
70,sample_70,866,0.11006609,307,0.03901881,299,0.038002034,291,0.036985257,301,0.038256228,7868,0.106187,13,7.105031567,-0.243431896,-0.384394693
71,sample_71,863,0.109684799,293,0.037239451,306,0.038891713,308,0.039145907,296,0.037620742,7868,0.106187,13,7.066266692,-0.428762531,-0.291361156
72,sample_72,1571,0.063685747,1000,0.040538349,985,0.039930274,1012,0.041024809,1012,0.041024809,24668,0.351743,0,2.389665181,-0.085163079,-0.182759172
73,sample_73,1530,0.065732944,944,0.040556797,934,0.04012717,936,0.040213095,935,0.040170132,23276,0.33094,0,2.597798272,-0.083241673,-0.162169861
74,sample_74,1069,0.087709222,496,0.040695766,485,0.039793239,471,0.038644568,488,0.040039383,12188,0.169136,13,4.832068136,-0.068767178,-0.197088858
75,sample_75,1064,0.087298983,468,0.038398425,504,0.04135215,472,0.038726616,503,0.041270102,12188,0.169136,13,4.790360167,-0.308048674,-0.034074071
76,sample_76,1386,0.070613409,802,0.040859996,790,0.040248624,777,0.039586305,811,0.041318525,19628,0.278191,0,3.09398225,-0.05166171,-0.14946937
77,sample_77,1351,0.068830243,790,0.040248624,794,0.040452415,809,0.041216629,791,0.040299572,19628,0.278191,0,2.912692407,-0.115339609,-0.128159059
78,sample_78,1166,0.079666576,600,0.040994807,596,0.040721509,569,0.038876742,581,0.039696638,14636,0.204828,13,4.014393612,-0.037620318,-0.100020014
79,sample_79,1137,0.080592572,570,0.040402608,549,0.038914091,551,0.039055855,556,0.039410264,14108,0.197286,13,4.108537169,-0.099301276,-0.289021092
80,sample_80,1119,0.0793167,577,0.040898781,571,0.04047349,558,0.039552027,564,0.039977318,14108,0.197286,13,3.978822666,-0.047622036,-0.125955221
81,sample_81,1715,0.061293781,1126,0.040243031,1132,0.04045747,1150,0.041100786,1128,0.04031451,27980,0.399386,0,2.146480406,-0.115922223,-0.12763049
82,sample_82,1681,0.061234154,1125,0.040980621,1116,0.040652776,1117,0.040689203,1108,0.040361358,27452,0.391802,0,2.140418276,-0.039097936,-0.107207387
83,sample_83,1396,0.067179981,832,0.040038499,855,0.041145332,851,0.040952839,822,0.039557267,20780,0.294609,0,2.744914676,-0.137225439,-0.055700925
84,sample_84,1537,0.065897788,953,0.040859201,947,0.040601955,966,0.041416567,954,0.040902075,23324,0.331958,0,2.614557512,-0.051744524,-0.112521691
85,sample_85,949,0.09601376,381,0.038547147,392,0.039660057,399,0.040368272,384,0.038850668,9884,0.135979,13,5.676368403,-0.292558389,-0.211015721
86,sample_86,961,0.097227843,396,0.040064751,400,0.040469446,398,0.040267098,397,0.040165925,9884,0.135979,13,5.799801035,-0.134491083,-0.126378169
87,sample_87,1504,0.066536896,927,0.041010441,923,0.040833481,925,0.040921961,934,0.04132012,22604,0.321127,0,2.67953397,-0.035992019,-0.088311116
88,sample_88,1507,0.066669616,920,0.040700761,917,0.040568041,906,0.040081402,925,0.040921961,22604,0.321127,0,2.693027247,-0.068246961,-0.116068069
89,sample_89,1957,0.058670104,1359,0.040742295,1365,0.040922173,1351,0.040502458,1374,0.041191989,33356,0.478071,0,1.879738138,-0.063920921,-0.079036608
90,sample_90,1932,0.057920614,1385,0.041521765,1374,0.041191989,1355,0.040622377,1375,0.041221969,33356,0.478323,0,1.803539445,0.01726541,-0.050821976
91,sample_91,1033,0.090837144,460,0.040450229,464,0.04080197,470,0.041329581,453,0.039834682,11372,0.157549,13,5.150075626,-0.094341357,-0.091606217
92,sample_92,1038,0.09127682,446,0.039219135,442,0.038867394,435,0.038251847,454,0.039922617,11372,0.157549,13,5.194776358,-0.22256695,-0.293904256
93,sample_93,1767,0.06065495,1205,0.041363449,1201,0.041226143,1199,0.04115749,1194,0.040985857,29132,0.416179,0,2.081532115,0.00077587,-0.047250541
94,sample_94,1528,0.065918896,944,0.040724763,930,0.040120794,930,0.040120794,949,0.040940466,23180,0.329996,0,2.616703497,-0.065747034,-0.16283658
95,sample_95,1962,0.058567164,1356,0.040477612,1366,0.040776119,1392,0.041552239,1366,0.040776119,33500,0.480195,0,1.869272487,-0.091489226,-0.09430938
96,sample_96,1809,0.058894387,1261,0.041053523,1252,0.040760516,1272,0.041411642,1237,0.040272171,30716,0.439514,0,1.902540391,-0.031504781,-0.095941055
97,sample_97,1750,0.060170541,1206,0.041466098,1208,0.041534865,1184,0.040709669,1176,0.040434603,29084,0.415523,0,2.0322835,0.011467368,-0.014967633
98,sample_98,1815,0.059837795,1235,0.040716075,1235,0.040716075,1235,0.040716075,1232,0.04061717,30332,0.433948,0,1.998454155,-0.066651866,-0.100588159
99,sample_99,1055,0.08488896,475,0.038220148,482,0.038783392,482,0.038783392,484,0.038944319,12428,0.172846,13,4.545339611,-0.326617222,-0.302688242
100,sample_100,1066,0.085774059,499,0.040151271,496,0.039909881,490,0.0394271,512,0.041197296,12428,0.172846,13,4.635325191,-0.1254795,-0.184891675
101,sample_101,1286,0.074645925,705,0.040921755,687,0.039876945,699,0.040573485,706,0.0409798,17228,0.242955,13,3.503957426,-0.045229113,-0.188335825
102,sample_102,1030,0.086206897,460,0.038500167,480,0.040174088,485,0.040592568,472,0.03950452,11948,0.166093,13,4.679330678,-0.297451579,-0.15726365
103,sample_103,1040,0.087043857,456,0.038165383,456,0.038165383,454,0.037997991,458,0.038332775,11948,0.166093,13,4.764422195,-0.332321287,-0.367313257
104,sample_104,978,0.093499044,427,0.04082218,424,0.040535373,411,0.039292543,412,0.039388145,10460,0.144511,13,5.420703942,-0.055600486,-0.119484173
105,sample_105,1571,0.063072105,1000,0.040147744,1021,0.040990846,1004,0.040308335,1028,0.041271881,24908,0.35474,0,2.327277892,-0.125846923,-0.071855452
106,sample_106,1603,0.064356833,1031,0.041392324,1018,0.040870403,1007,0.040428778,1003,0.040268187,24908,0.35474,0,2.457892756,0.00378333,-0.084450164
107,sample_107,1982,0.057676638,1421,0.041351414,1406,0.040914911,1407,0.040944011,1401,0.04076941,34364,0.493084,0,1.77873509,-0.00047763,-0.079795989
108,sample_108,1314,0.07167794,754,0.041130264,739,0.040312023,760,0.041457561,750,0.040912066,18332,0.259333,0,3.20221027,-0.023511716,-0.142839831
109,sample_109,1244,0.074277526,680,0.040601863,680,0.040601863,659,0.039347982,654,0.039049439,16748,0.235699,13,3.46650322,-0.078547765,-0.112531328
110,sample_110,1167,0.076234649,634,0.041416253,602,0.039325843,618,0.040371048,616,0.040240397,15308,0.215194,13,3.665478706,0.006275694,-0.245964373
111,sample_111,1002,0.09119039,430,0.0391336,454,0.041317801,453,0.041226793,426,0.038769567,10988,0.152036,13,5.185989174,-0.231475858,-0.037665875
112,sample_112,1020,0.09282854,417,0.037950491,437,0.039770659,441,0.040134692,421,0.038314525,10988,0.152036,13,5.352535607,-0.354703526,-0.199450078
113,sample_113,1083,0.08147758,511,0.038444177,525,0.039497442,520,0.039121276,518,0.03897081,13292,0.185287,13,4.198513674,-0.303283309,-0.228020279
114,sample_114,1115,0.083885044,530,0.039873608,544,0.040926873,527,0.039647909,521,0.039196509,13292,0.185287,13,4.443274058,-0.154399731,-0.07854509
115,sample_115,1117,0.081106593,533,0.038701714,530,0.03848388,552,0.040081324,569,0.041315713,13772,0.192362,13,4.160796369,-0.276459367,-0.334008121
116,sample_116,1127,0.081832704,559,0.040589602,548,0.03979088,539,0.03913738,565,0.041025269,13772,0.192362,13,4.234618141,-0.0798248,-0.197335559
117,sample_117,1690,0.062214696,1111,0.04089972,1109,0.040826093,1118,0.041157414,1092,0.040200265,27164,0.387536,0,2.240107353,-0.047524194,-0.089083618
118,sample_118,950,0.097057622,404,0.041275031,398,0.040662035,384,0.039231712,378,0.038618717,9788,0.134731,13,5.782495077,-0.008433429,-0.106239136
119,sample_119,1269,0.073454503,696,0.040287103,716,0.041444779,683,0.039534614,711,0.04115536,17276,0.243749,13,3.382828727,-0.111331789,-0.024387861
120,sample_120,1284,0.07432276,680,0.039360963,686,0.039708266,712,0.041213244,692,0.040055568,17276,0.243749,13,3.471102064,-0.20779469,-0.205974506
121,sample_121,1016,0.092464507,445,0.040498726,451,0.041044776,452,0.041135784,418,0.0380415,10988,0.15217,13,5.315525288,-0.089290086,-0.066216029
122,sample_122,1875,0.058925204,1321,0.041514771,1305,0.041011942,1284,0.04035198,1292,0.040603394,31820,0.456032,0,1.905673472,0.01653688,-0.069649464
123,sample_123,1667,0.061259738,1130,0.041525797,1090,0.040055858,1118,0.041084816,1104,0.040570337,27212,0.38868,0,2.143019352,0.017685391,-0.169626926
124,sample_124,1035,0.089874957,440,0.038207711,462,0.040118097,436,0.037860368,459,0.039857589,11516,0.159939,13,5.052252601,-0.327912612,-0.163118628
125,sample_125,1017,0.088311914,460,0.039944425,470,0.040812782,471,0.040899618,439,0.038120875,11516,0.159939,13,4.893342198,-0.147023732,-0.09047556
126,sample_126,1405,0.069048555,832,0.040888539,836,0.041085119,805,0.039561628,839,0.041232554,20348,0.288379,0,2.934887672,-0.048688739,-0.061997393
127,sample_127,1412,0.069392569,836,0.041085119,823,0.040446236,809,0.039758207,833,0.040937684,20348,0.288379,0,2.969862677,-0.028213839,-0.128805239
129,sample_129,1874,0.058551522,1295,0.040461164,1294,0.040429919,1302,0.040679873,1207,0.037711679,32006,0.459966,0,1.867682146,-0.093202424,-0.13051141
130,sample_130,1463,0.065984124,892,0.040230922,902,0.040681941,880,0.039689699,889,0.040095616,22172,0.314863,0,2.623335108,-0.117183431,-0.104157567
131,sample_131,977,0.091308411,423,0.03953271,436,0.040747664,442,0.041308411,431,0.040280374,10700,0.147489,13,5.197988127,-0.189906231,-0.097284999
132,sample_132,1007,0.09411215,425,0.039719626,427,0.039906542,409,0.038224299,404,0.037757009,10700,0.147489,13,5.483036756,-0.170437854,-0.185240818
133,sample_133,989,0.090402194,452,0.041316271,420,0.038391225,420,0.038391225,416,0.038025594,10940,0.151533,13,5.105855407,-0.004138052,-0.343697076
134,sample_134,1820,0.059438276,1235,0.040333116,1240,0.040496408,1270,0.041476159,1262,0.041214892,30620,0.438306,0,1.957836075,-0.106539359,-0.12355876
135,sample_135,934,0.106378132,334,0.038041002,352,0.040091116,358,0.040774487,348,0.039635535,8780,0.11998,13,6.730086633,-0.345276296,-0.165939959
136,sample_136,928,0.105694761,354,0.040318907,332,0.037813212,349,0.039749431,333,0.037927107,8780,0.11998,13,6.660610087,-0.10801931,-0.404139721
137,sample_137,1824,0.059944788,1244,0.040883397,1233,0.040521888,1246,0.040949126,1260,0.041409228,30428,0.435211,0,2.009331811,-0.049224365,-0.120894308
138,sample_138,1251,0.072412596,687,0.03976615,712,0.041213244,680,0.039360963,676,0.039129428,17276,0.243304,13,3.276900723,-0.16559217,-0.048599414
139,sample_139,1607,0.063417522,1025,0.040449882,1041,0.041081294,1019,0.040213102,1028,0.040568272,25340,0.361303,0,2.362395456,-0.094377501,-0.062397323
140,sample_140,1132,0.083064279,542,0.03977106,541,0.039697681,524,0.038450249,560,0.04109187,13628,0.190372,13,4.35982914,-0.165080764,-0.20708133
141,sample_141,1691,0.061276997,1144,0.041455283,1132,0.041020438,1139,0.041274098,1107,0.040114509,27596,0.394419,0,2.14477396,0.010340941,-0.068761085
142,sample_142,1502,0.065338437,924,0.040194884,941,0.040934401,937,0.040760397,915,0.039803376,22988,0.3269,0,2.557689858,-0.120936956,-0.077757967
143,sample_143,955,0.101552531,380,0.040408337,378,0.040195661,359,0.038175245,377,0.040089324,9404,0.128862,13,6.239480565,-0.098704627,-0.155007694
144,sample_144,926,0.098468737,361,0.03838792,369,0.039238622,377,0.040089324,369,0.039238622,9404,0.128862,13,5.925959405,-0.309142794,-0.255085029
145,sample_145,1847,0.059480871,1282,0.041285585,1290,0.041543218,1278,0.041156769,1256,0.04044828,31052,0.444213,0,1.962166612,-0.007334083,-0.014094131
146,sample_146,956,0.102707349,375,0.040287924,366,0.039321014,377,0.040502793,384,0.041254835,9308,0.12772,13,6.356887812,-0.11124629,-0.24646929
147,sample_147,936,0.100558659,384,0.041254835,362,0.038891276,369,0.039643318,373,0.040073055,9308,0.12772,13,6.138436277,-0.01053697,-0.291406847
148,sample_148,1073,0.087009406,476,0.038598767,509,0.041274732,479,0.038842037,474,0.038436588,12332,0.171657,13,4.760919726,-0.287181811,-0.04216957
149,sample_149,1067,0.086522867,489,0.039652935,509,0.041274732,507,0.041112553,486,0.039409666,12332,0.171657,13,4.711454589,-0.17738408,-0.04216957
150,sample_150,1355,0.069544241,808,0.041469924,769,0.039468282,791,0.040597413,784,0.040238144,19484,0.275674,0,2.98528278,0.011865851,-0.231069574
151,sample_151,890,0.102487333,337,0.038807001,336,0.038691847,355,0.040879779,345,0.039728236,8684,0.11801,13,6.334519421,-0.265493034,-0.312261103
152,sample_152,891,0.102602487,330,0.038000921,329,0.037885767,347,0.039958544,325,0.03742515,8684,0.11801,13,6.346226854,-0.34945097,-0.396552658
153,sample_153,1969,0.058110022,1393,0.041110849,1381,0.040756699,1379,0.040697674,1407,0.041524023,33884,0.485556,0,1.822796099,-0.025533926,-0.096340131
154,sample_154,867,0.114379947,303,0.039973615,310,0.040897098,288,0.037994723,302,0.039841689,7580,0.10228,13,7.543609926,-0.143983463,-0.081658724
155,sample_155,1349,0.071527041,778,0.041251326,747,0.039607635,752,0.039872747,767,0.040668081,18860,0.266703,0,3.186868784,-0.010902452,-0.216497416
156,sample_156,1511,0.066005591,945,0.041280797,932,0.040712913,946,0.04132448,924,0.040363446,22892,0.325525,0,2.625517637,-0.007832852,-0.100918874
157,sample_157,1504,0.065699808,912,0.039839245,912,0.039839245,943,0.04119343,940,0.04106238,22892,0.325525,0,2.594429422,-0.157978841,-0.192278035
158,sample_158,1247,0.075102385,673,0.040532402,684,0.041194893,665,0.04005059,654,0.039388099,16604,0.233786,13,3.550364474,-0.08578254,-0.050518373
159,sample_159,940,0.103661226,339,0.037384208,353,0.038928099,370,0.040802823,360,0.039700044,9068,0.123618,13,6.453866032,-0.41368522,-0.287556331
160,sample_160,939,0.103550948,359,0.039589766,348,0.038376709,349,0.038486987,345,0.038045876,9068,0.123618,13,6.442654371,-0.183963524,-0.345214963
161,sample_161,1482,0.065843256,931,0.041363071,903,0.040119069,927,0.041185356,894,0.039719211,22508,0.319881,0,2.609013393,0.000736476,-0.163016964
162,sample_162,1540,0.06535393,960,0.040740112,941,0.039933797,960,0.040740112,953,0.040443049,23564,0.335607,0,2.559264917,-0.064148314,-0.182390744
163,sample_163,1526,0.064759803,944,0.04006111,945,0.040103548,976,0.041419114,970,0.041164488,23564,0.335607,0,2.49886164,-0.134870309,-0.164639989
164,sample_164,1656,0.061616312,1099,0.040891502,1110,0.041300789,1102,0.041003125,1110,0.041300789,26876,0.383879,0,2.179271244,-0.048380199,-0.03944486
165,sample_165,1940,0.057910448,1360,0.040597015,1366,0.040776119,1371,0.040925373,1389,0.041462687,33500,0.479989,0,1.802505872,-0.079052711,-0.09430938
166,sample_166,1748,0.060905923,1187,0.041358885,1152,0.040139373,1162,0.040487805,1158,0.040348432,28700,0.409935,0,2.10704792,0.000300491,-0.160893776
167,sample_167,1004,0.093412728,411,0.038239672,407,0.03786751,443,0.041216971,422,0.039263119,10748,0.148436,13,5.411928421,-0.324583637,-0.398461755
168,sample_168,1515,0.064424222,971,0.041291036,945,0.040185406,953,0.0405256,942,0.040057833,23516,0.334859,0,2.464743982,-0.00676639,-0.156080134
169,sample_169,1006,0.090761458,423,0.038163118,433,0.039065319,450,0.040599062,458,0.041320823,11084,0.153094,13,5.142380842,-0.332557233,-0.273207217
170,sample_170,1003,0.090490798,439,0.03960664,424,0.038253338,418,0.037712017,444,0.040057741,11084,0.153094,13,5.114863516,-0.182205999,-0.358115848
171,sample_171,1543,0.065215554,958,0.040490279,951,0.040194421,969,0.040955199,959,0.040532544,23660,0.336787,0,2.545196592,-0.090169883,-0.155137408
172,sample_172,1818,0.060222605,1231,0.040777793,1233,0.040844044,1252,0.041473433,1216,0.040280906,30188,0.432235,0,2.03757676,-0.060223675,-0.087206526
173,sample_173,1915,0.059024781,1324,0.040808778,1348,0.041548514,1333,0.041086179,1319,0.040654667,32444,0.464922,0,1.91579719,-0.056996333,-0.013540274
174,sample_174,1452,0.068297272,862,0.040545626,879,0.041345249,849,0.039934149,873,0.041063029,21260,0.301914,0,2.858506697,-0.084405209,-0.03479564
175,sample_175,1841,0.060029999,1241,0.040465632,1236,0.040302596,1248,0.040693883,1267,0.041313421,30668,0.439175,0,2.017994987,-0.092737014,-0.143825626
177,sample_177,1210,0.074160333,640,0.0392253,648,0.039715617,639,0.039164011,653,0.040022064,16316,0.229508,13,3.454588594,-0.221924766,-0.205205838
178,sample_178,1218,0.07465065,641,0.03928659,676,0.041431723,670,0.041063986,668,0.040941407,16316,0.229508,13,3.504437746,-0.215541105,-0.025753063
179,sample_179,1500,0.066785396,914,0.040694568,908,0.040427427,930,0.041406946,930,0.041406946,22460,0.319288,0,2.704798318,-0.068891978,-0.130772087
180,sample_180,1044,0.089906993,480,0.041336548,460,0.039614192,475,0.040905959,451,0.038839132,11612,0.161197,13,5.055509635,-0.002025997,-0.215811752
